"StichtagDatJahr","KreisSort","KreisCd","KreisLang","SteuerTarifSort","SteuerTarifCd","SteuerTarifLang","SteuerVermoegen_p50","SteuerVermoegen_p25","SteuerVermoegen_p75"
1999,1,"1","Kreis 1",0,"00","Grundtarif",23,0,174
1999,1,"1","Kreis 1",1,"01","Verheiratetentarif",182,22,711
1999,1,"1","Kreis 1",2,"02","Einelternfamilientarif",28.5,0,301
1999,2,"2","Kreis 2",0,"00","Grundtarif",37,3,186
1999,2,"2","Kreis 2",1,"01","Verheiratetentarif",148,33,456
1999,2,"2","Kreis 2",2,"02","Einelternfamilientarif",7,0,61
1999,3,"3","Kreis 3",0,"00","Grundtarif",18,0,97
1999,3,"3","Kreis 3",1,"01","Verheiratetentarif",58,0,212
1999,3,"3","Kreis 3",2,"02","Einelternfamilientarif",0,0,30
1999,4,"4","Kreis 4",0,"00","Grundtarif",6,0,50
1999,4,"4","Kreis 4",1,"01","Verheiratetentarif",9,0,100
1999,4,"4","Kreis 4",2,"02","Einelternfamilientarif",0,0,12
1999,5,"5","Kreis 5",0,"00","Grundtarif",7,0,53
1999,5,"5","Kreis 5",1,"01","Verheiratetentarif",15,0,115
1999,5,"5","Kreis 5",2,"02","Einelternfamilientarif",0,0,33
1999,6,"6","Kreis 6",0,"00","Grundtarif",38,3,175
1999,6,"6","Kreis 6",1,"01","Verheiratetentarif",144,27,457
1999,6,"6","Kreis 6",2,"02","Einelternfamilientarif",18,0,95
1999,7,"7","Kreis 7",0,"00","Grundtarif",57,6,303
1999,7,"7","Kreis 7",1,"01","Verheiratetentarif",307,71,1102
1999,7,"7","Kreis 7",2,"02","Einelternfamilientarif",35,0,160
1999,8,"8","Kreis 8",0,"00","Grundtarif",35,2,184
1999,8,"8","Kreis 8",1,"01","Verheiratetentarif",184,28,656
1999,8,"8","Kreis 8",2,"02","Einelternfamilientarif",18,0,108
1999,9,"9","Kreis 9",0,"00","Grundtarif",23,0,116
1999,9,"9","Kreis 9",1,"01","Verheiratetentarif",84,4,261
1999,9,"9","Kreis 9",2,"02","Einelternfamilientarif",1,0,30
1999,10,"10","Kreis 10",0,"00","Grundtarif",34,1,161
1999,10,"10","Kreis 10",1,"01","Verheiratetentarif",123,18,411
1999,10,"10","Kreis 10",2,"02","Einelternfamilientarif",11,0,66
1999,11,"11","Kreis 11",0,"00","Grundtarif",19,0,101
1999,11,"11","Kreis 11",1,"01","Verheiratetentarif",77,4,256
1999,11,"11","Kreis 11",2,"02","Einelternfamilientarif",3,0,37
1999,12,"12","Kreis 12",0,"00","Grundtarif",16,0,77
1999,12,"12","Kreis 12",1,"01","Verheiratetentarif",49,0,185.5
1999,12,"12","Kreis 12",2,"02","Einelternfamilientarif",0,0,20
2000,1,"1","Kreis 1",0,"00","Grundtarif",26,0,178
2000,1,"1","Kreis 1",1,"01","Verheiratetentarif",183,26,745
2000,1,"1","Kreis 1",2,"02","Einelternfamilientarif",31,0,298
2000,2,"2","Kreis 2",0,"00","Grundtarif",38,3,194
2000,2,"2","Kreis 2",1,"01","Verheiratetentarif",148,30,471
2000,2,"2","Kreis 2",2,"02","Einelternfamilientarif",8,0,74
2000,3,"3","Kreis 3",0,"00","Grundtarif",19,0,98
